0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
Insulin Human Winthrop Basal;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Comb 15;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Comb 15;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Comb 25;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Comb 25;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Comb 30;Insulinum humanum;100 j.m./ ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Comb 50;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Comb 50;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Infusat;Insulinum humanum;100 j.m./ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Rapid;Insulinum humanum;100 j.m./ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin Human Winthrop Rapid;Insulinum humanum;40 j.m./ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insulin lispro Sanofi;Insulinum lisprum;100 j.m./ml;roztwór do wstrzykiwań;;;sanofi-aventis groupe;CEN;A10AB04
Insulin lispro Sanofi;Insulinum lisprum;100 j.m./ml;roztwór do wstrzykiwań we wkładzie;;;sanofi-aventis groupe;CEN;A10AB04
Insulin lispro Sanofi;Insulinum lisprum;100 j.m./ml;Roztwór do wstrzykiwań we wstrzykiwaczu;;;sanofi-aventis groupe;CEN;A10AB04
Insuman Basal;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AC01
Insuman Basal;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AC01
Insuman Basal;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Basal OptiSet;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AC01
Insuman Comb 15;Insulini iniectio neutralis + Insulinum isophanum;15 j.m. + 85 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AD01
Insuman Comb 15;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Comb 15;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Comb 15 OptiSet;Insulini iniectio neutralis + Insulinum isophanum;15 j.m. + 85 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AD01
Insuman Comb 25;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AD01
Insuman Comb 25;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Comb 25 OptiSet;Insulini iniectio neutralis + Insulinum isophanum;25 j.m. + 75 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AD01
Insuman Comb 30;Insulinum humanum;100 j.m./ ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Comb 50;Insulinum humanum;40 j.m /ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Comb 50;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Implantable;Insulinum humanum;400 j.m./ml;roztwór do infuzji;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Rapid;Insulini iniectio neutralis;100 j.m./ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Rapid;Insulini iniectio neutralis;40 j.m.;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Rapid;Insulinum humanum;40 j.m /ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Rapid;Insulinum humanum;100 j.m./ ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Insuman Rapid OptiSet;Insulini iniectio neutralis;100 j.m./ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
Intanza;Szczepionka przeciw grypie (rozszczepiony wirion), inaktywowana;;zawiesina do wstrzykiwań;;;Sanofi Pasteur Europe;CEN;J07BB02
Integrilin;Eptifibatidum;0,75 mg/ml;roztwór do infuzji;;;Glaxo Group Ltd;CEN;B01AC16
Integrilin;Eptifibatidum;2 mg/ml;roztwór do wstrzykiwań;;;Glaxo Group Ltd;CEN;B01AC16
Intelence;Etravirinum;100 mg;tabletki;;;Janssen-Cilag International N.V.;CEN;J05AG08
Intelence;Etravirinum;200 mg;tabletki;;;Janssen-Cilag International N.V.;CEN;J05AG08
Intelence;Etravirinum;25 mg;tabletki powlekane;;;Janssen-Cilag International N.V.;CEN;J05AG08
Intractum Crataegi;Crataegi inflorescentiae intractum;;płyn doustny;01091;Bezterminowe;Phytopharm Klęka S.A.;NAR;
Intractum Hippocastani PhytoPharm;Hippocastani intractum;2,34 g/2,5 ml;płyn doustny;00469;Bezterminowe;Phytopharm Klęka S.A.;NAR;C05CX03
Intractum Hyperici;Hyperici herbae intractum;4,65 g/5 ml;płyn doustny;00470;Bezterminowe;Phytopharm Klęka S.A.;NAR;N06AX25
Intractum Melissae;Melissae herbae intractum;4,575 g/5 ml;płyn doustny;00471;Bezterminowe;Phytopharm Klęka S.A.;NAR;
Intractum Visci PhytoPharm;Visci herbae intractum;-;płyn doustny;00473;Bezterminowe;Phytopharm Klęka S.A.;NAR;
Intralipid 10%;Soiae oleum raffinatum;100 mg/ml;emulsja do infuzji;06989;Bezterminowe;Fresenius Kabi AB;NAR;B05BA02
Intralipid 20%;Soiae oleum raffinatum;200 mg/ml;emulsja do infuzji;02719;Bezterminowe;Fresenius Kabi AB;NAR;B05BA02
Intrarosa;Prasterone;6,5 mg;globulka;;;Endoceutics Ltd.;CEN;
Intratect;Immunoglobulinum humanum normale ad usum intravenosum;50 g/l (50 mg/ml);roztwór do infuzji;12115;Bezterminowe;Biotest Pharma GmbH;MRP;J06BA02
Intratect;Immunoglobulinum humanum normale ad usum intravenosum;100 g/l;roztwór do infuzji;21476;Bezterminowe;Biotest Pharma GmbH;DCP;J06BA02
IntronA;Interferonum alfa-2b;30 mln j.m./1,2 ml;roztwór do wstrzykiwań;;;Merck Sharp & Dohme Limited;CEN;L03AB05
IntronA;Interferonum alfa-2b;60 mln j.m./1,2 ml;roztwór do wstrzykiwań;;;Merck Sharp & Dohme Limited;CEN;L03AB05
IntronA;Interferonum alfa-2b;18 mln j.m./1,2 ml;roztwór do wstrzykiwań;;;Merck Sharp & Dohme Limited;CEN;L03AB05
IntronA;Interferonum alfa-2b;10 mln j.m./ml;roztwór do wstrzykiwań lub do infuzji;;;Merck Sharp & Dohme Limited;CEN;L03AB05
IntronA;Interferonum alfa-2b;3 mln j.m./0,5 ml;roztwór do wstrzykiwań lub infuzji;;;Merck Sharp & Dohme Limited;CEN;L03AB05
IntronA;Interferonum alfa-2b;5 mln j.m./0,5 ml;roztwór do wstrzykiwań lub infuzji;;;Merck Sharp & Dohme Limited;CEN;L03AB05
IntronA;Interferonum alfa-2b;18 mln j.m./3 ml;roztwór do wstrzykiwań lub infuzji;;;Merck Sharp & Dohme Limited;CEN;L03AB05
IntronA;Interferonum alfa-2b;25 mln j.m./2,5 ml;roztwór do wstrzykiwań lub infuzji;;;Merck Sharp & Dohme Limited;CEN;L03AB05
Intuniv;Guanfacinum;1 mg;tabletki o przedłużonym uwalnianiu;;;Shire Pharmaceuticals Ireland Limited;CEN;C02AC02
Intuniv;Guanfacinum;2 mg;tabletki o przedłużonym uwalnianiu;;;Shire Pharmaceuticals Ireland Limited;CEN;C02AC02
Intuniv;Guanfacinum;4 mg;tabletki o przedłużonym uwalnianiu;;;Shire Pharmaceuticals Ireland Limited;CEN;C02AC02
Intuniv;Guanfacinum;3 mg;tabletki o przedłużonym uwalnianiu;;;Shire Pharmaceuticals Ireland Limited;CEN;C02AC02
inVag;Bakterie kwasu mlekowego: Lactobacillus fermentum 57A, Lactobacillus plantarum 57B, Lactobacillus gasseri 57C;nie mniej niż 109 CFU bakterii kwasu mlekowego: 25% Lactobacillus fermentum 57A, 25% Lactobacillus plantarum 57B, 50% Lactobacillus gasseri 57C;kapsułki dopochwowe, twarde;18689;Bezterminowe;Instytut Biotechnologii Surowic i Szczepionek BIOMED S.A.;NAR;
Invanz;Ertapenemum;1000 mg;proszek do przygotowania koncentratu do sporządzania roztworu do infuzji;;;Merck Sharp & Dohme Limited;CEN;J01DH03
Invega;Paliperidonum;1,5 mg;tabletka o przedłużonym uwalnianiu;;;Janssen-Cilag International N.V.;CEN;N05AX13
Invega;Paliperidonum;3 mg;tabletki o przedłużonym uwalnianiu;;;Janssen-Cilag International N.V.;CEN;N05AX13
Invega;Paliperidonum;6 mg;tabletki o przedłużonym uwalnianiu;;;Janssen-Cilag International N.V.;CEN;N05AX13
Invega;Paliperidonum;9 mg;tabletki o przedłużonym uwalnianiu;;;Janssen-Cilag International N.V.;CEN;N05AX13
Invega;Paraperidonum;12 mg;tabletki o przedłużonym uwalnianiu;;;Janssen-Cilag International N.V.;CEN;N05AX13
Inventum;Sildenafilum;25 mg;tabletki do rozgryzania i żucia;21009;Bezterminowe;Aflofarm Farmacja Polska Sp. z o.o.;NAR;G04BE03
Inventum 100;Sildenafilum;100 mg;tabletki do rozgryzania i żucia;21011;Bezterminowe;Aflofarm Farmacja Polska Sp. z o.o.;NAR;G04BE03
Inventum 50;Sildenafilum;50 mg;tabletki do rozgryzania i żucia;21010;Bezterminowe;Aflofarm Farmacja Polska Sp. z o.o.;NAR;G04BE03
Invirase;Saquinavirum;200 mg;kapsułki twarde;;;Roche Registration Limited;CEN;J05AE01
Invirase;Saquinavirum;500 mg;tabletki powlekane;;;Roche Registration Limited;CEN;J05AE01
Invokana;Canagliflozinum;100 mg;tabletki powlekane;;;Janssen-Cilag International N.V.;CEN;A10BX11
Invokana;Canagliflozinum;300 mg;tabletki powlekane;;;Janssen-Cilag International N.V.;CEN;A10BX11
Iodum;Homeopatyczny produkt leczniczy;4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19221;Bezterminowe;Boiron SA;NAR;
Iomeron 200;Iomeprolum; 200 mg jodu/ml;roztwór do wstrzykiwań;07583;Bezterminowe;Bracco Imaging Deutschland GmbH;NAR;V08AB10
Iomeron 250;Iomeprolum;250 mg jodu/ml;roztwór do wstrzykiwań;07584;Bezterminowe;Bracco Imaging Deutschland GmbH;NAR;V08AB10
Iomeron 300;Iomeprolum;300 mg jodu/ml;roztwór do wstrzykiwań;07585;Bezterminowe;Bracco Imaging Deutschland GmbH;NAR;V08AB10
Iomeron 350;Iomeprolum;350 mg jodu/ml;roztwór do wstrzykiwań;07586;Bezterminowe;Bracco Imaging Deutschland GmbH;NAR;V08AB10
Iomeron 400;Iomeprolum;400 mg jodu/ml;roztwór do wstrzykiwań;07587;Bezterminowe;Bracco Imaging Deutschland GmbH;NAR;V08AB10
Ionsys;Fentanylum;40 mcg/dawkę;system transdermalny;;;Incline Therapeutics Europe Ltd;CEN;N02AB03
Ipeca;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19260;Bezterminowe;Boiron SA;NAR;
Ipertrofan 40;Mepartricinum;40 mg;tabletki powlekane;07557;Bezterminowe;SPA Societa Prodotti Antibiotici S.p.A.;NAR;G04CX03
Iporel;Clonidini hydrochloridum;0,075 mg;tabletki;02828;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;C02AC01
Ipozumax;Itraconazolum;100 mg;kapsułki twarde;21956;Bezterminowe;Exeltis Poland Sp. z o.o.;MRP;J02AC02
IPP;Pantoprazolum;40 mg;proszek do sporządzania roztworu do wstrzykiwań;12980;Bezterminowe;Sandoz GmbH;MRP;A02BC02
IPP 20;Pantoprazolum;20 mg;tabletki dojelitowe;14294;Bezterminowe;Sandoz GmbH;DCP;A02BC02
IPP 40;Pantoprazolum;40 mg;tabletki dojelitowe;14219;Bezterminowe;Sandoz GmbH;DCP;A02BC02
Ipratropium /Salbutamol Cipla;Ipratropii bromidum + Salbutamolum;(0,5 mg + 2,5 mg)/2,5 mL;roztwór do nebulizacji;24254;2022-09-15;Cipla (EU) Limited;DCP;R03AK04
Ipravent Inhaler;Ipatropii bromidum;20 mcg/dawkę inh.;aerozol inhalacyjny, roztwór;23698;2022-01-29;Valeant Pharma Poland Sp. z o.o.;DCP;R03B01
Ipres long 1,5;Indapamidum;1,5 mg;tabletki o przedłużonym uwalnianiu;11079;Bezterminowe;VEDIM Sp. z o.o.;NAR;C03BA11
Iprixon Neb;Ipratropii bromidum + Salbutamolum;(0,5 mg + 2,5 mg)/2,5 ml;roztwór do nebulizacji;24237;2022-08-31;Adamed Sp. z o.o.;DCP;R03AL02
Irbesartan Aurovitas;Irbesartanum;150 mg;tabletki;24407;2022-11-24;Aurovitas Pharma Polska Sp.z o.o.;DCP;C09CA04
Irbesartan Aurovitas;Irbesartanum;300 mg;tabletki;24408;2022-11-24;Aurovitas Pharma Polska Sp.z o.o.;DCP;C09CA04
Irbesartan Fair-Med;Irbesartanum;75 mg;tabletki powlekane;20874;2016-01-03;Fair-Med Healthcare GmbH;DCP;C09CA04
Irbesartan Fair-Med;Irbesartanum;150 mg;tabletki powlekane;20875;2016-01-03;Fair-Med Healthcare GmbH;DCP;C09CA04
Irbesartan Fair-Med;Irbesartanum;300 mg;tabletki powlekane;20876;2016-01-03;Fair-Med Healthcare GmbH;DCP;C09CA04
Irbesartan Hydrochlorothiazide Zentiva;Irbesartanum + Hydrochlorothiazidum;150 mg + 12,5 mg;tabletki;;;sanofi-aventis groupe;CEN;C09DA04
Irbesartan Hydrochlorothiazide Zentiva;Irbesartanum + Hydrochlorothiazidum;300 mg + 12,5 mg;tabletki;;;sanofi-aventis groupe;CEN;C09DA04
Irbesartan Hydrochlorothiazide Zentiva;Irbesartanum + Hydrochlorothiazidum;150 mg + 12,5 mg;tabletki powlekane;;;sanofi-aventis groupe;CEN;C09DA04
Irbesartan Hydrochlorothiazide Zentiva;Irbesartanum + Hydrochlorothiazidum;300 mg + 12,5 mg;tabletki powlekane;;;sanofi-aventis groupe;CEN;C09DA04
Irbesartan Hydrochlorothiazide Zentiva;Irbesartanum + Hydrochlorothiazidum;300 mg + 25 mg;tabletki powlekane;;;sanofi-aventis groupe;CEN;C09DA04
Irbesartan Teva;Irbesartanum;75 mg;tabletki powlekane;;;Teva B.V.;CEN;C09CA04
Irbesartan Teva;Irbesartanum;150 mg;tabletki powlekane;;;Teva B.V.;CEN;C09CA04
Irbesartan Teva;Irbesartanum;300 mg;tabletki powlekane;;;Teva B.V.;CEN;C09CA04
Irbesartan Zentiva;Irbesartanum;75 mg;tabletka;;;sanofi-aventis groupe;CEN;C09CA04
Irbesartan Zentiva;Irbesartanum;150 mg;tabletka;;;sanofi-aventis groupe;CEN;C09CA04
Irbesartan Zentiva;Irbesartanum;300 mg;tabletka;;;sanofi-aventis groupe;CEN;C09CA04
Irbesartan Zentiva;Irbesartanum;75 mg;tabletka powlekana;;;sanofi-aventis groupe;CEN;C09CA04
Irbesartan Zentiva;Irbesartanum;150 mg;tabletka powlekana;;;sanofi-aventis groupe;CEN;C09CA04
Irbesartan Zentiva;Irbesartanum;300 mg;tabletka powlekana;;;sanofi-aventis groupe;CEN;C09CA04
Irbesartan/Hydrochlorothiazide Aurobindo;Irbesartanum + Hydrochlorothiazidum;300 mg + 12,5 mg;tabletki powlekane;21203;2017-12-12;Aurobindo Pharma (Malta) Limited;DCP;C09DA04
Irbesartan/Hydrochlorothiazide Aurobindo;Irbesartanum + Hydrochlorothiazidum;150 mg + 12,5 mg;tabletki powlekane;21202;2017-12-12;Aurobindo Pharma (Malta) Limited;DCP;C09DA04
Irbesartan/Hydrochlorothiazide Aurobindo;Irbesartanum + Hydrochlorothiazidum;300 mg + 25 mg;tabletki powlekane;21204;2017-12-12;Aurobindo Pharma (Malta) Limited;DCP;C09DA04
Irbesartan/Hydrochlorothiazide Teva;Irbesartanum + Hydrochlorothiazidum;150 mg + 12,5 mg;tabletka powlekana;;;Teva B.V.;CEN;C09CA04
Irbesartan/Hydrochlorothiazide Teva;Irbesartanum + Hydrochlorothiazidum;300 mg + 12,5 mg;tabletka powlekana;;;Teva B.V.;CEN;C09CA04
Irbesartan/Hydrochlorothiazide Teva;Irbesartanum + Hydrochlorothiazidum;300 mg + 25 mg;tabletka powlekana;;;Teva B.V.;CEN;C09CA04
Ircolon;Trimebutini maleas;100 mg;tabletki;21654;2019-01-09;Polfarmex S.A.;NAR;A03AA05
Ircolon Forte;Trimebutini maleas;200 mg;tabletki;24439;2022-12-11;Polfarmex S.A.;NAR;A03AA05
Ircolon Gastro;Trimebutini maleas;100 mg;tabletki;23921;2022-04-24;Polfarmex S.A.;NAR;A03AA05
Iressa;Gefitinibum;250 mg;tabletki powlekane;;;AstraZeneca AB;CEN;L01XE02
Irinotecan Accord;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;23432;2021-09-22;Accord Healthcare Limited;DCP;L01XX19
Irinotecan CSC;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;21551;2016-10-30;GP-PHARM S.A.;DCP;L01XX19
Irinotecan Fair-Med;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;20503;Bezterminowe;Fair-Med Healthcare GmbH;DCP;L01XX19
Irinotecan Kabi;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;15869;Bezterminowe;Fresenius Kabi Oncology Plc.;MRP;L01XX19
Irinotecan Mylan;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;21152;2016-04-23;Mylan S.A.S.;DCP;L01XX19
Irinotecan Seacross;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;18592;2016-08-18;Seacross Pharmaceuticals  Ltd;DCP;L01XX19
Irinotecan-Ebewe;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;18249;Bezterminowe;Ebewe Pharma Ges.m.b.H Nfg. KG;DCP;L01XX19
Iris Versicolor;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19343;Bezterminowe;Boiron SA;NAR;
Irprestan;Irbesartanum;75 mg;tabletki powlekane;16290;Bezterminowe;Actavis Group PTC ehf.;DCP;C09DA04
Irprestan;Irbesartanum;150 mg;tabletki powlekane;16291;Bezterminowe;Actavis Group PTC ehf.;DCP;C09DA04
Irprestan;Irbesartanum;300 mg;tabletki powlekane;16292;Bezterminowe;Actavis Group PTC ehf.;DCP;C09DA04
Irprestan;Irbesartanum;300 mg;tabletki powlekane;104/17;2022-03-30;InPharm Sp. z o.o.;IR;C09CA04
Iruxol Mono;Collagenasum;1,2 j.m./g;maść;00154;Bezterminowe;TJ Smith & Nephew Limited;NAR;D03BA
Irynotekan chlorowodorku QILU;Irinotecani hydrochloridum trihydricum;20 mg/ml;koncentrat do sporządzania roztworu do infuzji;23718;2022-02-09;Qilu Pharma Spain S.L.U;DCP;L01XX19
Iscover;Clopidogrelum;75 mg;tabletki powlekane;;;sanofi-aventis groupe;CEN;B01AC04
Iscover;Clopidogrelum;300 mg;tabletki powlekane;;;sanofi-aventis groupe;CEN;B01AC04
Isentres;Raltegravirum;600 mg;tabletki powlekane;;;Merck Sharp & Dohme Limited;CEN;J05AX08
Isentress;Raltegravirum;100 mg;granulat do sporządzania zawiesiny doustnej;;;Merck Sharp & Dohme Limited;CEN;J05AX08
Isentress;Raltegravirum;100 mg;tabletki do rozgryzania i żucia;;;Merck Sharp & Dohme Limited;CEN;J05AX08
Isentress;Raltegravirum;25 mg;tabletki do rozgryzania i żucia;;;Merck Sharp & Dohme Limited;CEN;J05AX08
Isentress;Raltegravirum;400 mg;tabletki powlekane;;;Merck Sharp & Dohme Limited;CEN;L04AA06
Ismian;Spironolactonum;25 mg;tabletki powlekane;23217;2021-05-22;Accord Healthcare Limited;MRP;C03DA01
Ismian;Spironolactonum;50 mg;tabletki powlekane;23218;2021-05-22;Accord Healthcare Limited;MRP;C03DA01
Ismian;Spironolactonum;100 mg;tabletki powlekane;23219;2021-05-22;Accord Healthcare Limited;MRP;C03DA01
Ismigen;Preparat złożony;-;tabletki podjęzykowe;15581;Bezterminowe;Lallemand Pharma Europe;NAR;J07AX
Ismigen;Produkt złożony;-;tabletki podjęzykowe;272/15;2020-05-28;Forfarm Sp. z o.o.;IR;J07AX
Ismigen;Produkt złożony;7 mg;tabletki podjęzykowe;631/15;2020-09-17;Pretium Farm Sp. z o.o.;IR;J07AX
Ismigen;Produkt złożony;7 mg;tabletki podjęzykowe;780/15;2020-11-19;InPharm Sp. z o.o.;IR;J07AX
Ismigen;Produkt złożony;-;tabletki podjęzykowe;193/16;2021-04-04;Laboratorium Galenowe Olsztyn Sp. z o.o.;IR;J07AX
Ismigen;Produkt złożony;-;tabletki podjęzykowe;307/16;2021-06-07;Delfarma Sp. z o.o.;IR;J07AX
Isoderm;Isotretinoinum;10 mg;kapsułki miękkie;18136;Bezterminowe;Sun-Farm Sp. z o.o.;NAR;D10BA01
Isoderm;Isotretinoinum;20 mg;kapsułki miękkie;18137;Bezterminowe;Sun-Farm Sp. z o.o.;NAR;D10BA01
Isoprinosine;Inosinum pranobexum;50 mg/ml;syrop;17673;Bezterminowe;Ewopharma International, s.r.o.;NAR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;02808;Bezterminowe;Ewopharma International, s.r.o.;NAR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;681/12;2017-11-07;PharmaVitae Sp. z o.o. sp. k.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;583/12;2017-10-21;Delfarma Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;85/10;2015-08-06;InPharm Sp. z o.o.;IR;
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;599/11;2016-11-28;InPharm Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;613/11;2016-11-29;Delfarma Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;584/12;2017-10-21;Laboratorium Galenowe Olsztyn Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;648/12;2017-11-06;Forfarm Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;669/12;2017-11-06;Pretium Farm Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;694/12;2017-11-14;Avrentim Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;29/13;2018-01-17;Storkpharm Sp. z o.o.;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;57/13;2018-01-29;MB Pharma Spółka z o.o. Spółka Komandytowa;IR;J05AX05
Isoprinosine;Inosinum pranobexum;500 mg;tabletki;57/14;2019-02-06;Forfarm Sp. z o.o.;IR;J05AX05
Isoptin 40;Verapamili hydrochloridum;40 mg;tabletki powlekane;01004;Bezterminowe;Mylan Healthcare Sp. z o.o.;NAR;C08DA01
Isoptin 80;Verapamili hydrochloridum;80 mg;tabletki powlekane;01005;Bezterminowe;Mylan Healthcare Sp. z o.o.;NAR;C08DA01
Isoptin SR;Verapamili hydrochloridum;120 mg;tabletki o przedłużonym uwalnianiu;00127;Bezterminowe;Mylan Healthcare Sp. z o.o.;NAR;C08DA01
Isoptin SR-E 240;Verapamili hydrochloridum;240 mg;tabletki o przedłużonym uwalnianiu;01006;Bezterminowe;Mylan Healthcare Sp. z o.o.;NAR;C08DA01
Isosorbide mononitrate Vitabalans;Isosorbidi mononitras;20 mg;tabletki;14441;Bezterminowe;Vitabalans Oy;MRP;C01DA14
Isosorbidi mononitras Accord;Isosorbidi mononitras;20 mg;tabletki;18420;2016-05-19;Accord Healthcare Ltd.;MRP;C01DA14
Isosorbidi mononitras Accord;Isosorbidi mononitras;40 mg;tabletki;18421;2016-05-19;Accord Healthcare Ltd.;MRP;C01DA14
Isotretinoin Jenson;Isotretinoinum;5 mg;kapsułki miękkie;19731;2017-01-24;Generics [UK] Ltd.;DCP;D10BA01
Isotretinoin Jenson;Isotretinoinum;10 mg;kapsułki miękkie;19732;2017-01-24;Generics [UK] Ltd.;DCP;D10BA01
Isotretinoin Jenson;Isotretinoinum;20 mg;kapsułki miękkie;19733;2017-01-24;Generics [UK] Ltd.;DCP;D10BA01
Isotretinoin Jenson;Isotretinoinum;40 mg;kapsułki miękkie;19734;2017-01-24;Generics [UK] Ltd.;DCP;D10BA01
Isotrex;Isotretinoinum;500 mcg/g;żel;07614;Bezterminowe;Stiefel Laboratories (Ireland) Ltd.;NAR;D10AD04
Isotrex;Isotretinoinum;500 mcg/g;żel;586/11;2021-11-27;Delfarma Sp. z o.o.;IR;D10AD04
Isotrex;Isotretinoinum;500 mcg/g;żel;352/14;2019-11-02;InPharm Sp. z o.o.;IR;D10AD04
Isotrex;Isotretinoinum;500 mcg/g;żel;353/15;2020-06-22;Pretium Farm Sp. z o.o.;IR;D10AD04
Isotrexin;Erythromycinum + Isotretinoinum;(20 mg + 0,5 mg)/g;żel;08767;Bezterminowe;Stiefel Laboratories (Ireland) Ltd.;NAR;D10AX
Itami;Diclofenacum natricum;140 mg;plaster leczniczy;21301;2018-07-02;FIDIA FARMACEUTICI S.p.A.;DCP;M02AA15
Itraconazole–Premier Research;Itraconazolum;100 mg;kapsułki twarde;18499;2016-11-23;Sandoz GmbH;DCP;J02AC02
